EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Group,Distance Group,Salary_hike_Group
1,41,1,rare,Sales,1,2,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,8,1,11,3,1,0,8,0,1,6,4,0,5,Mid Career,Near,low
2,49,0,Frequent,Research & Development,8,1,Life Sciences,3,Male,2,2,Research Scientist,2,Married,5130,1,0,23,4,4,1,10,3,3,10,7,1,7,Senior,Medium,high
3,37,1,rare,Research & Development,2,2,Other,4,Male,2,1,Laboratory Technician,3,Single,2090,6,1,15,3,2,0,7,3,3,0,0,0,0,Mid Career,Near,low
4,33,0,Frequent,Research & Development,3,4,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,1,1,11,3,3,0,8,3,3,8,7,3,0,Early Career,Near,low
5,27,0,rare,Research & Development,2,1,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,9,0,12,3,4,1,6,3,3,2,2,2,2,Early Career,Near,low
6,32,0,Frequent,Research & Development,2,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,0,0,13,3,3,0,8,2,2,7,7,3,6,Early Career,Near,low
7,59,0,rare,Research & Development,3,3,Medical,3,Female,4,1,Laboratory Technician,1,Married,2670,4,1,20,4,1,3,12,3,2,1,0,0,0,Late Career,Near,medium
8,30,0,rare,Research & Development,24,1,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,1,0,22,4,2,1,1,2,3,1,0,0,0,Early Career,Far,high
9,38,0,Frequent,Research & Development,23,3,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,9526,0,0,21,4,2,0,10,2,3,9,7,1,8,Mid Career,Far,medium
10,36,0,rare,Research & Development,27,3,Medical,3,Male,3,2,Healthcare Representative,3,Married,5237,6,0,13,3,2,2,17,3,2,7,7,7,7,Mid Career,Far,low
11,35,0,rare,Research & Development,16,3,Medical,1,Male,4,1,Laboratory Technician,2,Married,2426,0,0,13,3,3,1,6,5,3,5,4,0,3,Early Career,Far,low
12,29,0,rare,Research & Development,15,2,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,4193,0,1,12,3,4,0,10,3,3,9,5,0,8,Early Career,Medium,low
13,31,0,rare,Research & Development,26,1,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2911,1,0,17,3,4,1,5,1,2,5,2,4,3,Early Career,Far,medium
14,34,0,rare,Research & Development,19,2,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,2661,0,0,11,3,3,1,3,2,3,2,2,1,2,Early Career,Far,low
15,28,1,rare,Research & Development,24,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,2028,5,1,14,3,2,0,6,4,3,4,2,0,3,Early Career,Far,low
16,29,0,rare,Research & Development,21,4,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,9980,1,0,11,3,3,1,10,1,3,10,9,8,8,Early Career,Far,low
17,32,0,rare,Research & Development,5,2,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,3298,0,1,12,3,4,2,7,5,2,6,2,0,5,Early Career,Near,low
18,22,0,Non,Research & Development,16,2,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,2935,1,1,13,3,2,2,1,2,2,1,0,0,0,Young,Far,low
19,53,0,rare,Sales,2,4,Life Sciences,1,Female,2,4,Manager,4,Married,15427,2,0,16,3,3,0,31,3,3,25,8,3,7,Senior,Near,medium
20,38,0,rare,Research & Development,2,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,3944,5,1,11,3,3,0,6,3,3,3,2,1,2,Mid Career,Near,low
21,24,0,Non,Research & Development,11,2,Other,1,Female,4,2,Manufacturing Director,3,Divorced,4011,0,0,18,3,4,1,5,5,2,4,2,1,3,Young,Medium,medium
22,36,1,rare,Sales,9,4,Life Sciences,3,Male,2,1,Sales Representative,1,Single,3407,7,0,23,4,2,0,10,4,3,5,3,0,3,Mid Career,Medium,high
23,34,0,rare,Research & Development,7,4,Life Sciences,1,Female,3,3,Research Director,2,Single,11994,0,0,11,3,3,0,13,4,3,12,6,2,11,Early Career,Medium,low
24,21,0,rare,Research & Development,15,2,Life Sciences,3,Male,3,1,Research Scientist,4,Single,1232,1,0,14,3,4,0,0,6,3,0,0,0,0,Young,Medium,low
25,34,1,rare,Research & Development,6,1,Medical,2,Male,3,1,Research Scientist,1,Single,2960,2,0,11,3,3,0,8,2,3,4,2,1,3,Early Career,Medium,low
26,53,0,rare,Research & Development,5,3,Other,3,Female,3,5,Manager,3,Divorced,19094,4,0,11,3,4,1,26,3,2,14,13,4,8,Senior,Near,low
27,32,1,Frequent,Research & Development,16,1,Life Sciences,2,Female,1,1,Research Scientist,1,Single,3919,1,1,22,4,2,0,10,5,3,10,2,6,7,Early Career,Far,high
28,42,0,rare,Sales,8,4,Marketing,3,Male,3,2,Sales Executive,2,Married,6825,0,0,11,3,4,1,10,2,3,9,7,4,2,Mid Career,Medium,low
29,44,0,rare,Research & Development,7,4,Medical,1,Female,2,3,Healthcare Representative,4,Married,10248,3,0,14,3,4,1,24,4,3,22,6,5,17,Mid Career,Medium,low
30,46,0,rare,Sales,2,4,Marketing,2,Female,3,5,Manager,1,Single,18947,3,0,12,3,4,0,22,2,2,2,2,2,1,Senior,Near,low
31,33,0,rare,Research & Development,2,3,Medical,3,Male,3,1,Laboratory Technician,4,Single,2496,4,0,11,3,4,0,7,3,3,1,1,0,0,Early Career,Near,low
32,44,0,rare,Research & Development,10,4,Other,4,Male,3,2,Healthcare Representative,4,Married,6465,2,1,13,3,4,0,9,5,4,4,2,1,3,Mid Career,Medium,low
33,30,0,rare,Research & Development,9,2,Medical,4,Male,2,1,Laboratory Technician,3,Single,2206,1,0,13,3,1,0,10,5,3,10,0,1,8,Early Career,Medium,low
34,39,1,rare,Sales,5,3,Technical Degree,4,Male,3,2,Sales Representative,4,Married,2086,3,0,14,3,3,1,19,6,4,1,0,0,0,Mid Career,Near,low
35,24,1,rare,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,4,Married,2293,2,1,16,3,1,1,6,2,2,2,0,2,0,Young,Near,medium
36,43,0,rare,Research & Development,2,2,Medical,4,Female,4,1,Research Scientist,3,Divorced,2645,1,0,12,3,4,2,6,3,2,5,3,1,4,Mid Career,Near,low
